,title,mal id,type,score,total episodes,english title,air date start,air date end,average score,rank,popularity,genre,studio,source,season
334,Kyoushoku Soukou Guyver,2293,Movie,6,1,Guyver: Out of Control,1986-12-13T00:00:00+00:00,,6.26,6974,6233,Action,Production Reed,Unknown,
335,Kyousou Giga,10893,ONA,8,1,,2011-12-01T00:00:00+00:00,,6.94,3842,2428,Action,Toei Animation,Original,
336,L/R: Licensed by Royal,1456,TV,6,12,Licensed by Royalty,2003-01-08T00:00:00+00:00,2003-03-26T00:00:00+00:00,6.49,5873,7135,Action,TNK,Original,Winter 2003
337,L/R: Licensed by Royal Special,30066,Special,6,1,Licensed by Royalty,2003-04-25T00:00:00+00:00,,6.2,7255,12317,Action,TNK,Original,
338,Lesson XX,1908,OVA,6,1,,1995-04-07T00:00:00+00:00,,6.03,7980,5461,Romance,,Novel,
339,Licca-chan Fushigi na Fushigi na Yunia Monogatari,9792,OVA,8,2,,1990-11-23T00:00:00+00:00,,6.2,7256,10811,Adventure,,Other,
340,Little Witch Academia,14349,Movie,10,1,,2013-03-02T00:00:00+00:00,,7.86,718,522,Adventure,Trigger,Original,
341,Liz to Aoi Tori,35677,Movie,10,1,Liz and the Blue Bird,2018-04-21T00:00:00+00:00,,8.23,281,1673,Drama,Kyoto Animation,Novel,
342,Lodoss-tou Senki,207,OVA,6,13,Record of Lodoss War,1990-06-30T00:00:00+00:00,1991-11-23T00:00:00+00:00,7.4,1928,2178,Action,Madhouse,Novel,
343,Love Lab,16353,TV,6,13,Love Lab,2013-07-05T00:00:00+00:00,2013-09-27T00:00:00+00:00,7.37,2026,905,Comedy,Doga Kobo,Manga,Summer 2013
344,Love Live! School Idol Project,15051,TV,5,13,Love Live! School Idol Project,2013-01-06T00:00:00+00:00,2013-03-31T00:00:00+00:00,7.46,1713,361,Music,Sunrise,Other,Winter 2013
345,Lucky☆Star,1887,TV,7,24,Lucky☆Star,2007-04-08T00:00:00+00:00,2007-09-17T00:00:00+00:00,7.78,867,200,Slice of Life,Kyoto Animation,4-koma manga,Spring 2007
346,Lupin III,1412,TV,9,23,Lupin III,1971-10-24T00:00:00+00:00,1972-03-26T00:00:00+00:00,7.67,1111,1720,Action,Tokyo Movie Shinsha,Manga,Fall 1971
347,Lupin III: Alcatraz Connection,1413,Special,0,1,,2001-08-03T00:00:00+00:00,,7.09,3235,6015,Action,TMS Entertainment,Manga,
348,Lupin III: Babylon no Ougon Densetsu,1433,Movie,6,1,,1985-07-13T00:00:00+00:00,,6.59,5390,5845,Action,Tokyo Movie Shinsha,Manga,
349,Lupin III: Bye Bye Liberty - Kiki Ippatsu!,1415,Special,7,1,Lupin III: Goodbye Lady Liberty,1989-04-01T00:00:00+00:00,,6.85,4196,5962,Action,,Unknown,
350,Lupin III: Cagliostro no Shiro,1430,Movie,8,1,Lupin III: The Castle of Cagliostro,1979-12-15T00:00:00+00:00,,8.15,354,1623,Action,Tokyo Movie Shinsha,Manga,
351,Lupin III: Fuuma Ichizoku no Inbou,1432,Movie,7,1,Lupin III: The Fuma Conspiracy,1987-12-26T00:00:00+00:00,,7.27,2474,5341,Action,Tokyo Movie Shinsha,Manga,
352,Lupin III: Hemingway Paper no Nazo,1421,Special,7,1,,1990-07-20T00:00:00+00:00,,6.93,3867,6335,Action,Tokyo Movie Shinsha,Unknown,
353,Lupin III: Kutabare! Nostradamus,1419,Movie,7,1,Lupin III: Farewell to Nostradamus,1995-04-22T00:00:00+00:00,,7.38,2010,5205,Action,,Manga,
354,Lupin III: Lupin vs. Fukusei-ningen,1435,Movie,7,1,Lupin III: The Secret of Mamo,1978-12-16T00:00:00+00:00,,6.99,3648,4878,Action,Tokyo Movie Shinsha,Manga,
355,Lupin III: Walther P38,1439,Special,0,1,Lupin III: Island of Assassins,1997-08-01T00:00:00+00:00,,7.33,2204,5893,Action,,Unknown,
356,Lupin the IIIrd: Jigen Daisuke no Bohyou,23293,Movie,8,1,Lupin III: Jigen's Gravestone,2014-06-21T00:00:00+00:00,,7.83,769,3647,Action,Telecom Animation Film,Manga,
357,Lupin the Third: Mine Fujiko to Iu Onna,13203,TV,8,13,"Lupin the Third, The Woman Called Fujiko Mine",2012-04-05T00:00:00+00:00,2012-06-28T00:00:00+00:00,7.78,868,2280,Action,TMS Entertainment,Manga,Spring 2012
358,Macross,1088,TV,7,36,Macross,1982-10-03T00:00:00+00:00,1983-06-26T00:00:00+00:00,7.94,620,1580,Action,Tatsunoko Production,Original,Fall 1982
